ticker,method,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
AAPL,buy_and_hold,1.0016264348110147,0.4187211596083491,0.21368007276328507,1.9595704652918604,-0.1660664571483278,1,1.0,0.0010120516495026877,1.0026384864605173
AAPL,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AAPL,momentum,0.35694951454876556,0.16630489871525422,0.15265913110454435,1.0893871693882822,-0.12499731196108477,242,0.564,0.17437664156303434,0.5313261561117999
AAPL,always_up,1.0016264348110147,0.4187211596083491,0.21368007276328507,1.9595704652918604,-0.1660664571483278,1,1.0,0.0010120516495026877,1.0026384864605173
AAPL,arima,0.8217771947835286,0.3529745008966507,0.2062756610167801,1.7111786197012209,-0.16606645714832768,49,0.92,0.045140635223243075,0.8669178300067717
AAPL,prophet,0.4011902288031157,0.1853170690190058,0.14379603498764648,1.288749505749073,-0.14388721681080763,48,0.48,0.03401479812400021,0.43520502692711593
AAPL,xgboost,0.4157997532131197,0.19152984118131178,0.16220606851066288,1.180780983966215,-0.1459231637573557,171,0.586,0.1262296939672145,0.5420294471803342
AAPL,lstm_returns,0.6253929467923356,0.2773885497373947,0.20462867081186797,1.3555703051622754,-0.21150906319159835,71,0.88,0.05873673742507246,0.684129684217408
MSFT,buy_and_hold,0.8690379280772347,0.37055203788921776,0.22476960665531584,1.648586049525189,-0.15486780020271895,1,1.0,0.0009635583575051676,0.8700014864347398
MSFT,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
MSFT,momentum,0.25735124252885533,0.12234437452766422,0.16246183078603288,0.7530653442456613,-0.11527231412804373,240,0.546,0.16017542850363586,0.4175266710324912
MSFT,always_up,0.8690379280772347,0.37055203788921776,0.22476960665531584,1.648586049525189,-0.15486780020271895,1,1.0,0.0009635583575051676,0.8700014864347398
MSFT,arima,0.4454917440628432,0.2040592826735066,0.18722465806832383,1.0899167063722948,-0.12343893481536472,181,0.718,0.13682818425656929,0.5823199283194125
MSFT,prophet,0.12378303211895614,0.060581299178508186,0.1601108750762278,0.37837092046162263,-0.17650103978272547,52,0.53,0.029630762844594427,0.15341379496355056
MSFT,xgboost,0.7277387763792613,0.31731292361504027,0.16584111802571583,1.9133549471478886,-0.10267591803256582,205,0.536,0.18620858398807383,0.9139473603673351
MSFT,lstm_returns,0.693104858604584,0.3039371637696562,0.1664938600509011,1.825515749810446,-0.15538139050656374,91,0.618,0.07880393327421209,0.7719087918787961
SPY,buy_and_hold,0.5695094554755395,0.2550615477151199,0.12824879335704598,1.988802709472875,-0.09974327784939874,1,1.0,0.0007942165207464047,0.570303671996286
SPY,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SPY,momentum,0.17143603743952163,0.08301423375124606,0.08824528737372887,0.9407214393180148,-0.09937628830248435,242,0.576,0.15062434469645591,0.32206038213597754
