signal,scheme,stop_loss,cost_bps,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,exposure,daily_turnover,cost_drag,n_stop_hits,sharpe_vs_bh
—,buy_and_hold,,5.0,1.2125147853169231,0.5185994984592461,0.19791987452512366,2.620249733401159,4.1229977026293225,-0.14680022966775585,1.0,0.0,-0.2170863441016131,0,0.0
xgb_tuned_decay,equal_sleeve,,5.0,0.6510888613477717,0.3018716466776903,0.1284073428792025,2.350890844004708,3.553247692055858,-0.09590908425777989,0.7797494780793319,0.11732776617954072,0.0469877117180546,0,-0.26935888939645114
xgb_tuned_decay,equal_sleeve,0.05,5.0,0.4656549817820663,0.22278089420998382,0.10334083862336167,2.1557875587011255,3.3607562740995705,-0.05540582492524404,0.5985386221294363,0.11816283924843425,0.042023625283547084,28,-0.4644621747000337
xgb_tuned_decay,equal_sleeve,0.1,5.0,0.5614549157455602,0.26419793211027653,0.12447720645431512,2.122460325354754,3.171861011761593,-0.09590908425778,0.7342379958246348,0.11753653444676411,0.044516356687569036,6,-0.49778940804640515
xgb_tuned_decay,equal_active,,5.0,0.9328213405873316,0.4143741963079679,0.16638822503232018,2.4904057737708154,3.870508220445612,-0.11527131542914493,1.0,0.28591476952646055,0.13678740403724743,0,-0.12984395963034379
xgb_tuned_decay,equal_active,0.05,5.0,1.1870735046646632,0.5093875928521241,0.17965533263138378,2.8353602723125615,4.818170363747672,-0.11348765605678535,1.0,0.36595586042350137,0.19987852537033923,28,0.2151105389114023
xgb_tuned_decay,equal_active,0.1,5.0,1.0663378588420898,0.46496136359308493,0.17475338007728414,2.66067164702312,4.319436967310242,-0.11527131542914493,1.0,0.3200434105444544,0.16426037728326204,6,0.040421913621961014
xgb_tuned_decay,inv_vol,,5.0,0.4569082724006559,0.21893637427550527,0.1058654834746039,2.0680619130032687,3.006762890533862,-0.06956664792477962,0.7634716014127719,0.15540572781246312,0.05519066149016205,0,-0.5521878203978905
xgb_tuned_decay,inv_vol,0.05,5.0,0.327954098446815,0.1609302327339961,0.08683076483950272,1.853378039816397,2.734572416478911,-0.05719046690843299,0.6105225403694479,0.1506238357596299,0.048737670255187826,28,-0.7668716935847621
xgb_tuned_decay,inv_vol,0.1,5.0,0.40023366881333056,0.19375584656800848,0.10254383909388777,1.8894928089303173,2.719936618317153,-0.06956664792477951,0.725880939732752,0.15419875613385162,0.05262491397869784,6,-0.7307569244708418
xgb_tuned_decay,signal_prop,,5.0,1.1081257663120487,0.4804736174318154,0.24930158222928836,1.9272786523669667,3.203506015794783,-0.16899893103154107,1.0,0.4035655625260318,0.21367497179454853,0,-0.6929710810341925
xgb_tuned_decay,signal_prop,0.05,5.0,1.464172103620324,0.6071506149812209,0.29164743566956153,2.0817965142992945,3.914540043757165,-0.15715167593375767,1.0,0.45792316437412484,0.28523183309997524,28,-0.5384532191018647
