config,mean_rmse_ret,mean_rmse_vs_zero,mean_dir_acc,mean_abs_pred,mean_fit_secs,mean_sharpe,mean_total_return,mean_exposure,mean_trades,sharpe_vs_bh
xgb_default,0.017906564751938723,1.1071093181320621,0.5164077509791796,0.005684412858407449,0.1422,1.2201358552535804,0.8409001607020606,0.5357999999999999,185.0,-0.6100432725628193
xgb_tuned,0.01639073299969526,1.0008542658951594,0.5155891981034838,0.0011149225028201897,0.14,0.9499795779588085,0.7035360518822975,0.7432000000000001,88.3,-0.8801995498575912
xgb_tuned_decay,0.01641920835775481,1.0022808253061612,0.5313175840032983,0.001409644669358056,0.125,1.1863199901593464,0.8766624489796065,0.7607999999999999,59.8,-0.6438591376570533
xgb_tuned_volscale,0.016387452068265883,1.001063820341371,0.5145873840445269,0.001227432643986997,0.1462,1.0834848476373087,0.9121059695348979,0.7184,96.1,-0.746694280179091
