ticker,fold,method,train_days,test_days,rmse_ret,dir_acc,fit_secs
SPY,2,always_up,705,100,,0.61,0.0
SPY,2,arima,705,100,0.0073546048970274044,0.61,1.94
SPY,2,prophet,705,100,0.007786318758003275,0.49,0.3
SPY,2,xgboost,705,100,0.008082146347293416,0.48,0.29
SPY,2,lstm_returns,705,100,0.007470126176137187,0.44,6.91
SPY,3,persistence_zero,805,100,0.008230214920061386,,0.0
SPY,3,momentum,805,100,0.011107771980109597,0.61,0.0
SPY,3,always_up,805,100,,0.59,0.0
SPY,3,arima,805,100,0.008215591906276359,0.59,1.32
SPY,3,prophet,805,100,0.008576352146950187,0.48,0.21
SPY,3,xgboost,805,100,0.008994757154037534,0.49,0.24
SPY,3,lstm_returns,805,100,0.008229529861052165,0.54,6.47
SPY,4,persistence_zero,905,100,0.00800399950883811,,0.0
SPY,4,momentum,905,100,0.01104525201093706,0.49,0.0
SPY,4,always_up,905,100,,0.61,0.0
SPY,4,arima,905,100,0.007946423874725253,0.61,2.92
SPY,4,prophet,905,100,0.00832379725940644,0.53,0.82
SPY,4,xgboost,905,100,0.008988781429292561,0.47,33.69
SPY,4,lstm_returns,905,100,0.007933872256096392,0.57,8.69
GOOGL,0,persistence_zero,505,100,0.022314101313855115,,0.0
GOOGL,0,momentum,505,100,0.030182977511079106,0.52,0.0
GOOGL,0,always_up,505,100,,0.54,0.0
GOOGL,0,arima,505,100,0.022343491891349203,0.52,1.79
GOOGL,0,prophet,505,100,0.02399086073882984,0.47,0.2
GOOGL,0,xgboost,505,100,0.024073386309139168,0.48,0.21
GOOGL,0,lstm_returns,505,100,0.02242475321694424,0.53,4.23
GOOGL,1,persistence_zero,605,100,0.01537997953989799,,0.0
GOOGL,1,momentum,605,100,0.021537743445505343,0.48,0.0
GOOGL,1,always_up,605,100,,0.54,0.0
GOOGL,1,arima,605,100,0.015349205063941005,0.54,1.07
GOOGL,1,prophet,605,100,0.015591030674077128,0.42,0.15
GOOGL,1,xgboost,605,100,0.01606144519366035,0.46,0.14
GOOGL,1,lstm_returns,605,100,0.015252640548115327,0.54,2.8
GOOGL,2,persistence_zero,705,100,0.018527633920466618,,0.0
GOOGL,2,momentum,705,100,0.025540914091607508,0.56,0.0
GOOGL,2,always_up,705,100,,0.58,0.0
GOOGL,2,arima,705,100,0.01852915038544435,0.58,1.25
GOOGL,2,prophet,705,100,0.018564181730578375,0.57,0.15
GOOGL,2,xgboost,705,100,0.019214517561010756,0.6,0.16
GOOGL,2,lstm_returns,705,100,0.018426746838004746,0.54,3.29
GOOGL,3,persistence_zero,805,100,0.01840703490113561,,0.0
GOOGL,3,momentum,805,100,0.027259537252713663,0.49,0.0
GOOGL,3,always_up,805,100,,0.6,0.0
GOOGL,3,arima,805,100,0.018352349009749733,0.6,1.39
GOOGL,3,prophet,805,100,0.018909950826513068,0.51,0.16
GOOGL,3,xgboost,805,100,0.019134851841203764,0.47,0.15
GOOGL,3,lstm_returns,805,100,0.018400352859188254,0.55,4.21
GOOGL,4,persistence_zero,905,100,0.01702068966564852,,0.0
GOOGL,4,momentum,905,100,0.02165295685284429,0.5252525252525253,0.0
GOOGL,4,always_up,905,100,,0.5858585858585859,0.0
GOOGL,4,arima,905,100,0.016995444670896795,0.5858585858585859,1.69
GOOGL,4,prophet,905,100,0.017823748452600274,0.4444444444444444,0.23
GOOGL,4,xgboost,905,100,0.019905766192399373,0.5050505050505051,0.22
GOOGL,4,lstm_returns,905,100,0.016996824335521434,0.6060606060606061,4.05
AMZN,0,persistence_zero,505,100,0.023594128326078566,,0.0
AMZN,0,momentum,505,100,0.03441721213013912,0.55,0.0
AMZN,0,always_up,505,100,,0.57,0.0
AMZN,0,arima,505,100,0.02378466246530603,0.42,1.48
AMZN,0,prophet,505,100,0.025711054021057646,0.45,0.18
AMZN,0,xgboost,505,100,0.027268267013126932,0.52,0.2
AMZN,0,lstm_returns,505,100,0.023914986804856837,0.41,3.59
AMZN,1,persistence_zero,605,100,0.01912148954619514,,0.0
AMZN,1,momentum,605,100,0.028282578058084505,0.37755102040816324,0.0
AMZN,1,always_up,605,100,,0.5204081632653061,0.0
AMZN,1,arima,605,100,0.019132053216989728,0.4897959183673469,1.02
AMZN,1,prophet,605,100,0.01912469694011362,0.6122448979591837,0.22
AMZN,1,xgboost,605,100,0.023957341586877023,0.35714285714285715,0.28
AMZN,1,lstm_returns,605,100,0.019198106748290027,0.4387755102040816,4.15
AMZN,2,persistence_zero,705,100,0.018353529164386463,,0.0
AMZN,2,momentum,705,100,0.02516027345326283,0.52,0.0
AMZN,2,always_up,705,100,,0.53,0.0
