method,acc,n,lo,hi
xgb_tuned_decay,0.56,200.0,0.4907154834956251,0.6270229957941764
arima,0.55,200.0,0.48075488574571107,0.6173605136624569
lstm_returns,0.53,200.0,0.46091557335361155,0.5979536662912893
patchtst,0.53,200.0,0.46091557335361155,0.5979536662912893
always_up,0.53,200.0,0.46091557335361155,0.5979536662912893
llm_zero_shot,0.5,200.0,0.43135962209034523,0.5686403779096547
xgb_default,0.48,200.0,0.4117904407948983,0.5489633994418346
