model,mean_rmse_ret,mean_rmse_vs_zero,mean_dir_acc,mean_abs_pred,mean_sharpe,mean_total_return,mean_sharpe_vs_bh,mean_fit_secs
arima,0.016646811467115684,1.0006379558542562,0.5345173076242102,0.0009566484560563583,1.3428042379246152,1.1825300657118358,-0.48737488989178407,1.6385250759124756
xgb_tuned_decay,0.016688120268996742,1.0025871973153202,0.5313040500772794,0.0014096557297566393,1.1863199901593464,0.8766624489796065,-0.643859137657053,0.16295653820037842
lstm_returns,0.01665234675301773,1.0011235076651332,0.5172608390206314,0.0010355681388224184,1.0272145228650955,0.7915770042797051,-0.8029646049513041,4.894691329002381
patchtst,0.019144032992650713,1.1592488064080624,0.5148371563915818,0.007760577842792554,1.0373878340351848,0.6948213205278017,-0.7927912937812145,6.817920522689819
